Name,Price,Rarity
Ivory Goat (Travail),400 gp,Rare
Ivory Goat (Traveling),700 gp,Rare
Ivory Goat (Terror),"3,000 gp",Rare
Goldean Lion,600 gp,Rare
Staff of the Python,200 gp,Uncommon
Onyx Dog,500 gp,Rare
Silver Raven,"5,000 gp",Uncommon
Silver Horn of Valhalla,"5,600 gp",Rare
Marble Elephant,800 gp,Rare
Bowl of Commanding Water Elementals,"8,000 gp",Rare
Brazier of Commanding Fire Elementals,"8,000 gp",Rare
Censer of Controlling Air Elementals,"8,000 gp",Rare
Stone of Controlling Earth Elementals,"8,000 gp",Rare
Brass Horn of Valhalla,"8,000 gp",Rare
Bronze Horn of Valhalla,"11,000 gp",Very Rare
Iron Horn of Valhalla,"14,000 gp",Legendary
Serpentine Owl,"8,000 gp",Rare
Bronze Griffon,"4,000 gp",Rare
Ebony Fly,"6,000 gp",Rare
Obsidian Steed,"20,000 gp",Very Rare